movie,review
hokum,"After dropping the ball near the end of 2024's Oddity, Hokum solidifies McCarthy as a director with great technical expertise, in great need of a decent writer. While the film looks and sounds impressive, with moody sets and suspenseful camera angles, the script is so chunky and poorly stitched together that it borders on sophomoric, and the jump-scares never manage to be the least bit scary."
hokum,"It's like an amalgamation of the Shining, 1408 and Insidious. Decent movie, but nothing really exciting or noteworthy in my opinion. I like Adam Scott and the hotel atmosphere is ok, but just kind of slow and didn't hit the mark with me."
hokum,"Nowhere near as good as Oddity. It has style and atmosphere, but the story feels undercooked. Honestly, the film‑within‑the‑film that frames the whole thing seemed far more compelling — I found myself wishing that were the actual movie."
hokum,"A good movie for afternoon TV. I have zero clue why it has such specifically high ratings. Honestly it's probably because of the cast. Nothing wrong with it, but it was literally just one of those b grade movies you would watch on a day off school. There is something wrong /corrupt about this website. The ratings are falsely high. Genre... Its suspense, not really horror."
hokum,"Hokum is an atmospheric horror/mystery with a great, fail-proof setting - an old haunted hotel around Halloween. Even a marginal story or execution is likely to do ok with that Shining/1408 backdrop. Unfortunately, that’s what we get with Hokum. This is the third horror/mystery by the director of Caveat and Oddity, and I feel both of those films are superior to Hokum. Part of the problem is how unlikable the main character is. Much like in The Shining and 1408, he’s a troubled writer who drinks and must confront his past and his demons at the hotel. But the mystery of what happens to the missing girl isn’t all that mysterious, and has little or nothing to do with him. Great movies stay with you and leave you thinking about the meaning or how they end. After Hokum I could barely remember how it ended or why the hotel was haunted at all. Maybe I need a second viewing. But both Caveat and Oddity had a more focused story, with better characters."
hokum,"I've felt that this film is unfortunately overrated. It had great ingredients to make a great film, but I feel it falls short of its potential. The script and the editing in particular don't have the grace that a horror film needs to immerse you into its atmosphere."
hokum,"Supernatural thriller, with twists and turns that don't really go anywhere except predictable places. Jump scares and disturbing atmosphere (at times) save this from being a one star movie. The protagonist is a complete dick until the final act."
hokum,It’s not a haunting movie. It’s a psychological drama with a splash of horror. Overrated and lacklustre.
hokum,"Hokum prides itself on its atmosphere, but lacks dimension, profound characters and design in the way its characters move through the world. They simply exist, moving in a videogame-like manner, as if controlled from outside and operating automatically. There is no intriguing element to make you care about them, particularly the empty and cynical protagonist. The haunted motif of one of the victims' voice recorders is a missed chance to create an appealing connection to the past. The second part of the film grabs your interest, but the mystery and horror quickly evaporate as there is no depth."
hokum,"Not bad, best screamer"
